MT1;MT2;Odev;Final;Adjusted Final;TOTAL;Letter Grade
92;100;11,85;77;77;100,25;AA
96;97;11,025;82;82;101,725;AA
78;93;7,425;70;70;86,725;AA
78;77;11,55;64;64;83,65;AA
71;70;10,8;71;71;81,5;AA
31;94;7,575;81;81;77,475;BA
52;84;8,7;68;68;76,7;BA
80;67;10,65;62;62;79,55;BA
57;71;7,575;52;52;66,775;BB
63;62;6;21;21;51,9;BB
60;61;6,375;56;56;65,075;BB
74;83;2,55;50;50;69,65;BB
46;79;7,875;29;29;56,975;BB
58;72;4,95;7;7;46,75;CB
40;73;7,05;53;53;62,15;CB
54;74;4,2;61;61;67;CB
63;39;10,125;49;49;60,325;CC
52;73;10,8;41;41;64,7;CC
28;68;9,825;36;36;53,025;CC
64;71;5,1;16;16;52;CC
35;74;7,8;57;57;63,3;CC
61;63;4,95;46;46;60,55;CC
52;81;6,3;35;35;60,2;CC
52;28;7,05;37;37;45,85;DC
43;42;8,475;11;11;38,375;DC
36;20;7,65;34;34;38,05;DD
42;33;2,4;10;10;28,9;DD
