,ID,datetime,electricity_consumption
0,0,2013-07-01 00:00:00,216
1,1,2013-07-01 01:00:00,210
2,2,2013-07-01 02:00:00,225
3,3,2013-07-01 03:00:00,216
4,4,2013-07-01 04:00:00,222
5,5,2013-07-01 05:00:00,216
6,6,2013-07-01 06:00:00,219
7,7,2013-07-01 07:00:00,222
8,8,2013-07-01 08:00:00,219
9,9,2013-07-01 09:00:00,222
10,10,2013-07-01 10:00:00,201
11,11,2013-07-01 11:00:00,204
12,12,2013-07-01 12:00:00,210
13,13,2013-07-01 13:00:00,216
14,14,2013-07-01 14:00:00,216
15,15,2013-07-01 15:00:00,216
16,16,2013-07-01 16:00:00,213
17,17,2013-07-01 17:00:00,198
18,18,2013-07-01 18:00:00,198
19,19,2013-07-01 19:00:00,213
20,20,2013-07-01 20:00:00,216
21,21,2013-07-01 21:00:00,222
22,22,2013-07-01 22:00:00,210
23,23,2013-07-01 23:00:00,216
24,24,2013-07-02 00:00:00,210
25,25,2013-07-02 01:00:00,231
26,26,2013-07-02 02:00:00,210
27,27,2013-07-02 03:00:00,213
28,28,2013-07-02 04:00:00,204
29,29,2013-07-02 05:00:00,222
30,30,2013-07-02 06:00:00,210
31,31,2013-07-02 07:00:00,210
32,32,2013-07-02 08:00:00,198
33,33,2013-07-02 09:00:00,204
34,34,2013-07-02 10:00:00,225
35,35,2013-07-02 11:00:00,213
36,36,2013-07-02 12:00:00,204
37,37,2013-07-02 13:00:00,237
38,38,2013-07-02 14:00:00,210
39,39,2013-07-02 15:00:00,234
40,40,2013-07-02 16:00:00,243
41,41,2013-07-02 17:00:00,234
42,42,2013-07-02 18:00:00,240
43,43,2013-07-02 19:00:00,276
44,44,2013-07-02 20:00:00,264
45,45,2013-07-02 21:00:00,270
46,46,2013-07-02 22:00:00,282
47,47,2013-07-02 23:00:00,258
48,48,2013-07-03 00:00:00,249
49,49,2013-07-03 01:00:00,270
50,50,2013-07-03 02:00:00,288
51,51,2013-07-03 03:00:00,348
52,52,2013-07-03 04:00:00,396
53,53,2013-07-03 05:00:00,414
54,54,2013-07-03 06:00:00,381
55,55,2013-07-03 07:00:00,411
56,56,2013-07-03 08:00:00,381
57,57,2013-07-03 09:00:00,324
58,58,2013-07-03 10:00:00,327
59,59,2013-07-03 11:00:00,300
60,60,2013-07-03 12:00:00,312
61,61,2013-07-03 13:00:00,333
62,62,2013-07-03 14:00:00,372
63,63,2013-07-03 15:00:00,417
64,64,2013-07-03 16:00:00,423
65,65,2013-07-03 17:00:00,414
66,66,2013-07-03 18:00:00,396
67,67,2013-07-03 19:00:00,486
68,68,2013-07-03 20:00:00,519
69,69,2013-07-03 21:00:00,447
70,70,2013-07-03 22:00:00,474
71,71,2013-07-03 23:00:00,459
72,72,2013-07-04 00:00:00,462
73,73,2013-07-04 01:00:00,504
74,74,2013-07-04 02:00:00,384
75,75,2013-07-04 03:00:00,342
76,76,2013-07-04 04:00:00,276
77,77,2013-07-04 05:00:00,261
78,78,2013-07-04 06:00:00,273
79,79,2013-07-04 07:00:00,279
80,80,2013-07-04 08:00:00,240
81,81,2013-07-04 09:00:00,273
82,82,2013-07-04 10:00:00,276
83,83,2013-07-04 11:00:00,312
84,84,2013-07-04 12:00:00,294
85,85,2013-07-04 13:00:00,288
86,86,2013-07-04 14:00:00,300
87,87,2013-07-04 15:00:00,303
88,88,2013-07-04 16:00:00,255
89,89,2013-07-04 17:00:00,279
90,90,2013-07-04 18:00:00,270
91,91,2013-07-04 19:00:00,252
92,92,2013-07-04 20:00:00,273
93,93,2013-07-04 21:00:00,231
94,94,2013-07-04 22:00:00,246
95,95,2013-07-04 23:00:00,231
96,96,2013-07-05 00:00:00,228
97,97,2013-07-05 01:00:00,210
98,98,2013-07-05 02:00:00,213
99,99,2013-07-05 03:00:00,213
100,100,2013-07-05 04:00:00,231
101,101,2013-07-05 05:00:00,225
102,102,2013-07-05 06:00:00,210
103,103,2013-07-05 07:00:00,201
104,104,2013-07-05 08:00:00,213
105,105,2013-07-05 09:00:00,204
106,106,2013-07-05 10:00:00,204
107,107,2013-07-05 11:00:00,204
108,108,2013-07-05 12:00:00,198
109,109,2013-07-05 13:00:00,210
110,110,2013-07-05 14:00:00,186
111,111,2013-07-05 15:00:00,192
112,112,2013-07-05 16:00:00,207
113,113,2013-07-05 17:00:00,207
114,114,2013-07-05 18:00:00,180
115,115,2013-07-05 19:00:00,192
116,116,2013-07-05 20:00:00,192
117,117,2013-07-05 21:00:00,192
118,118,2013-07-05 22:00:00,231
119,119,2013-07-05 23:00:00,210
120,120,2013-07-06 00:00:00,210
121,121,2013-07-06 01:00:00,204
122,122,2013-07-06 02:00:00,213
123,123,2013-07-06 03:00:00,204
124,124,2013-07-06 04:00:00,207
125,125,2013-07-06 05:00:00,186
126,126,2013-07-06 06:00:00,186
127,127,2013-07-06 07:00:00,207
128,128,2013-07-06 08:00:00,192
129,129,2013-07-06 09:00:00,195
130,130,2013-07-06 10:00:00,186
131,131,2013-07-06 11:00:00,201
132,132,2013-07-06 12:00:00,192
133,133,2013-07-06 13:00:00,216
134,134,2013-07-06 14:00:00,204
135,135,2013-07-06 15:00:00,204
136,136,2013-07-06 16:00:00,186
137,137,2013-07-06 17:00:00,222
138,138,2013-07-06 18:00:00,195
139,139,2013-07-06 19:00:00,201
140,140,2013-07-06 20:00:00,213
141,141,2013-07-06 21:00:00,198
142,142,2013-07-06 22:00:00,231
143,143,2013-07-06 23:00:00,213
144,144,2013-07-07 00:00:00,201
145,145,2013-07-07 01:00:00,195
146,146,2013-07-07 02:00:00,201
147,147,2013-07-07 03:00:00,210
148,148,2013-07-07 04:00:00,204
149,149,2013-07-07 05:00:00,192
150,150,2013-07-07 06:00:00,213
151,151,2013-07-07 07:00:00,216
152,152,2013-07-07 08:00:00,228
153,153,2013-07-07 09:00:00,225
154,154,2013-07-07 10:00:00,234
155,155,2013-07-07 11:00:00,231
156,156,2013-07-07 12:00:00,240
157,157,2013-07-07 13:00:00,261
158,158,2013-07-07 14:00:00,258
159,159,2013-07-07 15:00:00,270
160,160,2013-07-07 16:00:00,270
161,161,2013-07-07 17:00:00,237
162,162,2013-07-07 18:00:00,270
163,163,2013-07-07 19:00:00,270
164,164,2013-07-07 20:00:00,273
165,165,2013-07-07 21:00:00,294
166,166,2013-07-07 22:00:00,282
167,167,2013-07-07 23:00:00,306
168,168,2013-07-08 00:00:00,330
169,169,2013-07-08 01:00:00,348
170,170,2013-07-08 02:00:00,384
171,171,2013-07-08 03:00:00,372
172,172,2013-07-08 04:00:00,378
173,173,2013-07-08 05:00:00,405
174,174,2013-07-08 06:00:00,342
175,175,2013-07-08 07:00:00,279
176,176,2013-07-08 08:00:00,228
177,177,2013-07-08 09:00:00,207
178,178,2013-07-08 10:00:00,189
179,179,2013-07-08 11:00:00,213
180,180,2013-07-08 12:00:00,201
181,181,2013-07-08 13:00:00,210
182,182,2013-07-08 14:00:00,210
183,183,2013-07-08 15:00:00,189
184,184,2013-07-08 16:00:00,213
185,185,2013-07-08 17:00:00,210
186,186,2013-07-08 18:00:00,222
187,187,2013-07-08 19:00:00,204
188,188,2013-07-08 20:00:00,204
189,189,2013-07-08 21:00:00,222
190,190,2013-07-08 22:00:00,222
191,191,2013-07-08 23:00:00,216
192,192,2013-07-09 00:00:00,201
193,193,2013-07-09 01:00:00,195
194,194,2013-07-09 02:00:00,213
195,195,2013-07-09 03:00:00,201
196,196,2013-07-09 04:00:00,216
197,197,2013-07-09 05:00:00,201
198,198,2013-07-09 06:00:00,195
199,199,2013-07-09 07:00:00,201
200,200,2013-07-09 08:00:00,195
201,201,2013-07-09 09:00:00,210
202,202,2013-07-09 10:00:00,198
203,203,2013-07-09 11:00:00,198
204,204,2013-07-09 12:00:00,222
205,205,2013-07-09 13:00:00,222
206,206,2013-07-09 14:00:00,189
207,207,2013-07-09 15:00:00,204
208,208,2013-07-09 16:00:00,213
209,209,2013-07-09 17:00:00,210
210,210,2013-07-09 18:00:00,210
211,211,2013-07-09 19:00:00,222
212,212,2013-07-09 20:00:00,213
213,213,2013-07-09 21:00:00,222
214,214,2013-07-09 22:00:00,195
215,215,2013-07-09 23:00:00,192
216,216,2013-07-10 00:00:00,210
217,217,2013-07-10 01:00:00,204
218,218,2013-07-10 02:00:00,204
219,219,2013-07-10 03:00:00,222
220,220,2013-07-10 04:00:00,219
221,221,2013-07-10 05:00:00,204
222,222,2013-07-10 06:00:00,222
223,223,2013-07-10 07:00:00,195
224,224,2013-07-10 08:00:00,201
225,225,2013-07-10 09:00:00,198
226,226,2013-07-10 10:00:00,189
227,227,2013-07-10 11:00:00,222
228,228,2013-07-10 12:00:00,210
229,229,2013-07-10 13:00:00,216
230,230,2013-07-10 14:00:00,207
231,231,2013-07-10 15:00:00,198
232,232,2013-07-10 16:00:00,234
233,233,2013-07-10 17:00:00,240
234,234,2013-07-10 18:00:00,261
235,235,2013-07-10 19:00:00,252
236,236,2013-07-10 20:00:00,285
237,237,2013-07-10 21:00:00,327
238,238,2013-07-10 22:00:00,315
239,239,2013-07-10 23:00:00,315
240,240,2013-07-11 00:00:00,309
241,241,2013-07-11 01:00:00,264
242,242,2013-07-11 02:00:00,216
243,243,2013-07-11 03:00:00,234
244,244,2013-07-11 04:00:00,213
245,245,2013-07-11 05:00:00,198
246,246,2013-07-11 06:00:00,210
247,247,2013-07-11 07:00:00,186
248,248,2013-07-11 08:00:00,189
249,249,2013-07-11 09:00:00,204
250,250,2013-07-11 10:00:00,204
251,251,2013-07-11 11:00:00,216
252,252,2013-07-11 12:00:00,201
253,253,2013-07-11 13:00:00,210
254,254,2013-07-11 14:00:00,195
255,255,2013-07-11 15:00:00,204
256,256,2013-07-11 16:00:00,204
257,257,2013-07-11 17:00:00,198
258,258,2013-07-11 18:00:00,216
259,259,2013-07-11 19:00:00,219
260,260,2013-07-11 20:00:00,192
261,261,2013-07-11 21:00:00,201
262,262,2013-07-11 22:00:00,246
263,263,2013-07-11 23:00:00,246
264,264,2013-07-12 00:00:00,249
265,265,2013-07-12 01:00:00,204
266,266,2013-07-12 02:00:00,228
267,267,2013-07-12 03:00:00,228
268,268,2013-07-12 04:00:00,222
269,269,2013-07-12 05:00:00,231
270,270,2013-07-12 06:00:00,258
271,271,2013-07-12 07:00:00,243
272,272,2013-07-12 08:00:00,252
273,273,2013-07-12 09:00:00,288
274,274,2013-07-12 10:00:00,276
275,275,2013-07-12 11:00:00,294
276,276,2013-07-12 12:00:00,276
